Property_ID,Suburb,Property_Type,Bedrooms,Bathrooms,Parking_Spaces,Land_Size_sqm,Building_Size_sqm,Sale_Price_AUD,Sale_Date,Distance_to_CBD_km,Source_URL,Notes,Dwelling_Group,Has_Land_Size
CB-024,Campbelltown,House,4,2,2.0,621.0,,920000.0,2026-06-12,53,https://www.domain.com.au/47-grandview-drive-campbelltown-nsw-2560-2020850534,,1,1
CB-025,Campbelltown,House,5,3,2.0,727.0,,980000.0,2026-06-10,53,https://www.domain.com.au/1-high-street-campbelltown-nsw-2560-2020820580,,1,1
CB-026,Campbelltown,House,4,4,1.0,612.5,,1120000.0,2026-06-10,53,https://www.domain.com.au/134a-university-drive-campbelltown-nsw-2560-2020913397,land size not published,1,1
CB-027,Campbelltown,Villa,2,1,1.0,612.5,,690000.0,2026-06-09,53,https://www.domain.com.au/3-11-barwon-place-campbelltown-nsw-2560-2020848396,land size not published,1,1
CB-028,Campbelltown,House,2,1,2.0,606.0,,870000.0,2026-06-09,53,https://www.domain.com.au/132-waminda-avenue-campbelltown-nsw-2560-2020848320,,1,1
CB-029,Campbelltown,House,3,2,2.0,551.0,,880000.0,2026-06-09,53,https://www.domain.com.au/12-kendall-street-campbelltown-nsw-2560-2020903619,,1,1
CB-030,Campbelltown,House,4,2,1.0,486.0,,1195000.0,2026-06-05,53,https://www.domain.com.au/32-oxley-street-campbelltown-nsw-2560-2020777730,,1,1
PT-001,Parramatta,Apartment / Unit / Flat,2,2,1.0,97.0,,640000.0,2026-09-16,24,https://www.domain.com.au/2315-45-macquarie-street-parramatta-nsw-2150-2021012386,,0,1
PT-002,Parramatta,Apartment / Unit / Flat,2,1,1.0,0.0,,570000.0,2026-09-16,24,https://www.domain.com.au/1-3-stewart-street-parramatta-nsw-2150-2020893497,land size not published,0,1
PT-003,Parramatta,Apartment / Unit / Flat,2,1,1.0,0.0,,600000.0,2026-09-16,24,https://www.domain.com.au/641-180-george-street-parramatta-nsw-2150-2021041505,parking and land size not published,0,1
PT-004,Parramatta,Apartment / Unit / Flat,2,2,1.0,0.0,,575000.0,2026-09-14,24,https://www.domain.com.au/610-36-46-cowper-street-parramatta-nsw-2150-2021038919,land size not published,0,1
PT-005,Parramatta,Apartment / Unit / Flat,2,2,1.0,0.0,,580000.0,2026-09-04,24,https://www.domain.com.au/89-459-463-church-street-parramatta-nsw-2150-2020441602,land size not published,0,1
PT-006,Parramatta,Apartment / Unit / Flat,2,2,1.0,0.0,,660000.0,2026-09-09,24,https://www.domain.com.au/505-23-hassall-street-parramatta-nsw-2150-2020750030,land size not published,0,1
PT-007,Parramatta,Apartment / Unit / Flat,2,1,1.0,0.0,,520000.0,2026-09-11,24,https://www.domain.com.au/33-68-great-western-highway-parramatta-nsw-2150-2020943564,land size not published,0,1
PT-008,Parramatta,Apartment / Unit / Flat,1,1,1.0,0.0,,425000.0,2026-09-04,24,https://www.domain.com.au/8-64-66-great-western-highway-parramatta-nsw-2150-2021071261,land size not published,0,1
PT-009,Parramatta,Apartment / Unit / Flat,2,2,1.0,0.0,,705000.0,2026-09-04,24,https://www.domain.com.au/1702-45-macquarie-street-parramatta-nsw-2150-2020659838,land size not published,0,1
